Matrix size;Blocks;Threads per block;Total time;Operations time
2050;262144;16;0.405686;0.016209
4098;1048576;16;0.642181;0.063659
8198;4198401;16;1.516749;0.225544
2050;131072;32;0.390900;0.016187
4098;524288;32;0.643874;0.063665
8198;2099200;32;1.559766;0.253311
2050;65536;64;0.408969;0.022107
4098;262144;64;0.578293;0.060413
8198;1049600;64;1.544700;0.253357
2050;32768;128;0.406583;0.016435
4098;131072;128;0.622210;0.063566
8198;524800;128;1.535451;0.255286
2050;16384;256;0.400256;0.018275
4098;65536;256;0.667766;0.093317
8198;262400;256;1.579862;0.267917
2050;262144;16;0.405955;0.016198
4098;1048576;16;0.667962;0.096889
8198;4198401;16;1.609085;0.292898
2050;131072;32;0.399364;0.016424
4098;524288;32;0.636996;0.065659
8198;2099200;32;1.558040;0.273415
2050;65536;64;0.425709;0.029436
4098;262144;64;0.638713;0.063640
8198;1049600;64;1.584453;0.297836
2050;32768;128;0.406709;0.017854
4098;131072;128;0.637040;0.065425
8198;524800;128;1.547438;0.253367
2050;16384;256;0.408003;0.016276
4098;65536;256;0.621677;0.063544
8198;262400;256;1.371831;0.293191
2050;262144;16;0.423239;0.016258
4098;1048576;16;0.649152;0.063999
8198;4198401;16;1.554261;0.252926
2050;131072;32;0.406769;0.016369
4098;524288;32;0.684807;0.098285
8198;2099200;32;1.375398;0.196144
2050;65536;64;0.316891;0.013782
4098;262144;64;0.539777;0.077477
8198;1049600;64;1.545993;0.252875
2050;32768;128;0.422012;0.030140
4098;131072;128;0.636488;0.063812
8198;524800;128;1.587794;0.283607
2050;16384;256;0.425398;0.028958
4098;65536;256;0.622363;0.065131
8198;262400;256;1.580218;0.292668
2050;262144;16;0.403501;0.016201
4098;1048576;16;0.667050;0.080091
8198;4198401;16;1.585610;0.253550
2050;131072;32;0.393873;0.016239
4098;524288;32;0.617940;0.063590
8198;2099200;32;1.575829;0.284275
2050;65536;64;0.398624;0.016261
4098;262144;64;0.625354;0.063573
8198;1049600;64;1.552252;0.253318
2050;32768;128;0.402992;0.027894
4098;131072;128;0.643375;0.063754
8198;524800;128;1.561471;0.254640
2050;16384;256;0.436149;0.028140
4098;65536;256;0.625452;0.063995
8198;262400;256;1.563846;0.289028
2050;262144;16;0.402626;0.016191
4098;1048576;16;0.657513;0.098392
8198;4198401;16;1.564327;0.253695
2050;131072;32;0.408859;0.016302
4098;524288;32;0.669309;0.090346
8198;2099200;32;1.536153;0.254085
2050;65536;64;0.396183;0.016267
4098;262144;64;0.602679;0.052542
8198;1049600;64;1.552183;0.253619
2050;32768;128;0.387911;0.016208
4098;131072;128;0.635808;0.063650
8198;524800;128;1.550391;0.253871
2050;16384;256;0.403226;0.016277
4098;65536;256;0.637779;0.063690
8198;262400;256;1.550238;0.255173
